-43.9873 170.4639 30267 28470 30666 30966 27771 30167 30067 28969 28670 26474 26573 27372
-35.6267 148.9533 30666 31265 30966 29369 30067 29768 29668 29568 29868 30167 30067 30167
-33.3967 289.4533 34559 34659 34360 33461 33262 33361 33162 33262 33262 33461 33561 33861
-29.0458 115.3458 32463 32563 32862 32363 32064 32164 31864 31665 31565 31565 31265 31864
-25.8833  27.7083 30167 30067 29868 28770 27572 27073 27073 26673 27672 28271 29469 29968
-23.7588 133.8825 29469 29768 29568 29269 29269 28870 28969 28271 28271 28570 28969 29169
-16.7336 208.9614 36356 36556 36655 36456 36855 36356 36056 35957 35857 36156 36556 36356
-16.4617 288.5083 34360 34659 34559 34060 33561 33262 33062 33262 33162 33561 33861 34060
-14.3355 189.2750 37055 37154 37554 37654 37554 37454 37354 37154 37055 37055 37055 36855
 -7.9548 345.6729 36156 36456 36655 36356 36156 35657 35358 35358 35458 35657 35557 35757
 -5.9279 324.8355 37953 38252 38252 38352 37853 37454 37354 37254 37454 37454 37154 37753
 -0.6217 281.4217 35458 35757 35657 35058 34360 33960 33661 33861 33661 34060 34260 34959
  5.2511 307.1947 37953 38053 37953 38452 38752 38652 38252 38153 37953 38252 38352 38452
  9.4000 167.5000 38352 37953 38153 38552 38752 38153 38352 38352 38352 38352 38452 38352
 13.3106 144.7368 37254 37753 37853 38352 38153 37753 37354 37953 38153 38053 37554 37953
 17.1438 298.2075 36056 35957 35957 36156 37254 37554 37853 37953 37654 37753 37254 36655
 20.7100 203.7400 35058 34959 34959 35358 35857 35957 36156 36755 36256 36156 35857 35657
 21.4628 288.8680 35757 35857 35957 36456 37055 37853 37753 38053 37853 37654 36855 36556
 21.5721 201.7334 37554 37654 37454 36556 35957 35657 36056 36456 36755 36955 37055 37254
 22.1233 200.3350 29968 29868 29768 29968 30167 30567 30866 31066 30966 30966 30467 30267
 23.0225  72.5146 30167 29069 29269 28470 29768 33960 35557 36855 35957 31066 29768 30367
 23.3460 253.5457 34659 34160 34459 34060 34959 36156 37853 36755 36855 36256 35557 34160
 26.6158 281.6522 34459 34659 35058 35957 37055 38153 38552 38652 38352 37354 36156 35857
 28.4818 279.4235 33861 33960 34160 34859 36256 37853 38552 38652 38153 36156 34959 33960
 29.3583  79.4317 31365 31165 30866 29968 30666 33461 37354 37953 36256 33262 31864 31365
 29.5117 264.9103 33162 33661 33861 34959 36056 37055 37354 37354 36556 34859 33761 33361
 29.8587  31.3423 31365 29169 31165 31565 31465 30367 33661 34060 28570 30367 26174 31665
 30.6771 255.9841 19981 19082 18282 25275 25974 18182 21880 21979 17582 18782 18582 19481
 31.6841 249.1226 24576 24576 24476 24676 25275 25475 26274 26773 26074 25575 24576 24277
 32.3483 295.3458 35058 35058 35258 36056 36556 37055 37554 38053 37554 37055 36056 35557
 32.5008 253.3914 27372 26973 26673 27372 28470 27472 28969 29668 28271 27871 27073 26973
 32.6008 243.1592 28470 28470 28271 28171 28171 28370 29668 30167 29269 28969 28370 28071
 33.5776 135.9368 31665 31764 32263 32763 33960 35757 37354 37554 36256 34459 33062 32064
 34.5828 239.4385 30167 30666 30766 30966 31365 31565 31864 31964 32064 31465 30766 30467
 34.9641 242.0857 29169 29269 29169 29169 29269 29568 30367 30666 30067 29768 29169 28969
 35.1642 128.7589 31665 31565 31864 32763 32763 35458 37654 37654 36056 33661 32962 31864
 35.2000 277.1250 30866 30866 31265 32164 33561 35258 36056 36156 34759 32563 31665 30866
 35.3300 243.1067 27971 28171 27871 27971 27971 27771 27971 27971 27871 27771 27672 27971
 35.6700 139.5417 31465 31465 31665 32263 33262 34859 36955 37154 35557 33661 32463 31864
 35.9550 140.6617 31465 31465 31665 32263 33262 34859 36955 37154 35557 33661 32463 31864
 36.4600 353.7933 32563 32862 32862 32463 32962 33062 33561 33661 34160 33062 32663 32763
 36.4630  12.8782 32763 32763 33062 33062 33661 34060 34659 34959 34959 33960 33162 32862
 37.2321 241.7043 27871 27871 27672 27572 27771 27971 28470 28670 28171 28071 27771 27672
 37.4978 237.5004 32363 32463 32463 32563 32862 33361 33661 33561 33461 32962 32263 32164
 37.8522 284.4976 31665 31764 31665 32862 33661 35158 36456 36156 35358 33661 32363 32164
 38.0785  23.9327 30467 30267 30367 30567 31465 31565 31764 31565 31665 31665 31565 30866
 39.0200 283.1717 31066 31165 30966 32064 32862 34260 35458 35258 34360 32862 31665 31365
 39.9735 239.0606 28670 28570 28470 28470 28770 28969 29269 29269 29069 28870 28670 28570
 40.1828 255.2740 25775 25675 25675 25575 26374 26673 27372 27672 26374 25974 25874 25775
 40.4441 355.7589 29568 29369 29568 29469 29868 30267 29968 30067 30666 30467 29968 29668
 40.6388  17.8480 31265 31565 31365 31565 32263 32663 33062 32663 32363 32064 32463 31964
 41.9336 248.5794 25275 25076 24776 24676 25076 24976 25275 25475 24776 25076 25275 25275
 42.6226 288.5124 31066 31066 30966 31565 32263 33661 34859 34759 34060 32563 31665 31165
 43.7553   6.9231 27771 27572 27771 27971 28670 29369 29768 29768 29568 28870 28171 28071
 46.8994 294.7906 31265 31265 31165 31365 31964 33062 34160 34060 33262 32263 31565 31165
 47.0671  15.4933 29768 29868 29868 30067 30766 31665 32363 32164 31465 30866 30367 29968
 49.1449  12.8782 29469 29469 29568 30067 30367 31165 31864 31764 31165 30567 29968 29668
 50.0026   5.1460 30766 30567 30766 30966 31665 32463 32862 32862 32563 31964 31265 31066
 51.4450 359.3033 31964 31665 31864 32164 32663 33262 33861 33761 33661 33162 32363 32463
 52.1784   5.8097 31665 31565 31764 31864 32663 33561 34060 33960 33661 32962 32363 31964
 54.4355 249.7152 29968 29668 29469 29269 29369 30267 31066 31066 30067 29469 29469 29568
 60.2173  24.3944 29069 35757 30567 31165 27272 32164 34160 31565 35757 25974 28870 33262
 64.9750 212.4850 31465 30966 30467 30167 30467 31565 32263 32263 31165 30567 30866 31465
