           NOMINAL TIMING      EARLY TIMING        LATE TIMING
 mo. yr.  mean +2sig -2sig ap mean +2sig -2sig ap mean +2sig -2sig ap
 BEGIN_DATA
9	2019	68	75	63	8	78	86	68	8	68	75	63	8	
10	2019	68	75	63	8	80	89	70	8	68	75	63	8	
11	2019	68	75	63	8	83	92	71	8	68	75	63	8	
12	2019	68	75	63	8	85	95	73	8	68	75	63	8	
1	2020	69	76	63	8	87	98	75	9	68	75	63	8	
2	2020	70	77	63	8	90	101	76	9	68	75	63	8	
3	2020	71	78	64	8	92	104	78	9	68	75	63	8	
4	2020	73	80	64	8	95	107	80	9	68	75	63	8	
5	2020	75	82	65	8	97	111	81	9	68	75	63	8	
6	2020	77	85	67	8	99	114	83	9	68	75	63	8	
7	2020	79	87	68	8	102	117	85	10	68	75	63	8	
8	2020	81	90	70	8	104	120	87	10	68	75	63	8	
9	2020	83	93	72	8	107	123	89	10	68	75	63	8	
10	2020	86	96	74	8	109	126	90	10	69	75	63	8	
11	2020	88	99	75	9	111	129	92	10	70	76	63	8	
12	2020	91	102	77	9	114	132	94	10	71	77	63	8	
1	2021	93	105	79	9	116	135	95	11	72	79	64	8	
2	2021	96	109	81	9	118	137	97	11	74	81	65	8	
3	2021	98	112	82	9	119	140	98	11	76	83	66	8	
4	2021	100	115	84	9	121	142	99	11	78	86	67	8	
5	2021	103	118	86	10	123	145	100	11	80	88	69	8	
6	2021	105	121	87	10	125	147	102	11	82	91	71	8	
7	2021	107	125	89	10	127	149	103	12	84	94	73	8	
8	2021	110	127	91	10	128	151	104	12	87	97	74	9	
9	2021	112	130	93	10	130	153	106	12	89	100	76	9	
10	2021	114	133	95	10	131	155	107	12	91	104	78	9	
11	2021	116	136	96	11	132	157	108	12	94	107	80	9	
12	2021	119	139	98	11	134	158	109	12	97	110	82	9	
1	2022	120	141	99	11	135	159	110	12	99	114	83	9	
2	2022	122	144	100	11	135	160	110	12	101	117	85	10	
3	2022	124	146	101	11	136	161	111	12	104	120	87	10	
4	2022	126	149	103	11	137	162	111	12	106	123	88	10	
5	2022	127	151	104	12	138	163	112	13	108	126	90	10	
6	2022	129	152	105	12	138	164	112	13	110	129	92	10	
7	2022	130	154	106	12	139	165	113	13	113	132	94	10	
8	2022	132	156	107	12	139	165	113	13	115	135	95	11	
9	2022	133	158	109	12	139	166	113	13	117	138	97	11	
10	2022	134	159	110	12	139	166	113	13	119	140	99	11	
